Elongation,Force,?,Time,
12.5630172,2.51393199,4.833296873,0.063499999,
12.67299894,2.419442415,4.8797708,0.064049999,
12.78302725,2.412626743,5.007573869,0.064599999,
12.89296336,2.596080303,5.030811299,0.065149999,
13.00299168,2.512130737,5.030811299,0.065699999,
13.11297435,2.653063059,5.042429548,0.066249998,
13.22300266,2.675526381,5.088903476,0.066799998,
13.33298534,2.563560486,5.263181403,0.067349998,
13.44301365,2.670437336,5.228325725,0.067899998,
13.55294883,2.552903175,5.205088761,0.068449998,
13.66293151,2.603424788,5.32127358,0.068999998,
13.77295982,2.704592705,5.332892295,0.069549998,
13.8829425,2.768374443,5.332892295,0.070099998,
13.99297081,2.751853228,5.356129259,0.070649997,
14.10295255,2.693479776,5.472314544,0.071199997,
14.2129343,2.639615774,5.576881114,0.071749997,
14.32300918,2.712193251,5.460695829,0.072299997,
14.43289872,2.829236507,5.600117613,0.072849997,
14.54297453,2.800997496,5.623355042,0.073399997,
14.65286221,2.764095068,5.634972826,0.073949997,
14.76298459,2.797007561,5.658210255,0.074499997,
14.8728732,2.895393133,5.762776826,0.075049996,
14.98299465,2.708821297,5.925435573,0.075599996,
15.09297732,2.699271679,5.797632039,0.076149996,
15.20296,2.878072977,5.925435573,0.076700004,
15.31303488,2.87142086,5.948673002,0.077250004,
15.42301662,2.930797338,5.960291252,0.077800004,
15.5329993,2.967225075,5.971909966,0.078350004,
15.64302668,2.909177542,6.018383894,0.078900003,
15.75305685,2.903695345,6.204280071,0.079450003,
15.8630386,2.845858335,6.169424392,0.080000003,
15.97306691,2.987709999,6.134568714,0.080550003,
16.08300209,2.813827991,6.21589832,0.081100003,
16.19307697,2.912238121,6.250753999,0.081650003,
16.30291902,3.082507849,6.262372714,0.082200003,
16.41308703,3.119602203,6.297227927,0.082750003,
16.52302407,3.016082764,6.459887139,0.083300002,
16.63300581,3.006798506,6.494742353,0.083850002,
16.74298942,3.008774996,6.471505389,0.084400002,
16.8529246,3.052530766,6.506361067,0.084950002,
16.96299948,3.057769299,6.517979316,0.085500002,
17.07293466,3.227314711,6.599308923,0.086050002,
17.18300954,3.046400785,6.76196767,0.086600002,
17.29294658,3.087753773,6.645782851,0.087150002,
17.40297303,3.178919792,6.7852051,0.087700001,
17.51295663,3.108588457,6.831679028,0.088250001,
17.62303151,3.019483566,6.843297277,0.088800001,
17.73296483,3.132876635,6.854915991,0.089350001,
17.842995,3.259315729,6.878152955,0.089900001,
17.95293018,3.102238417,6.947863847,0.090450001,
18.06305349,3.234880447,7.075667381,0.091000001,
18.17303523,3.282901764,7.017574739,0.091550001,
18.28297041,3.06324935,7.087286096,0.0921,
18.39304529,3.165844202,7.168615237,0.09265,
18.50298047,3.236400604,7.180233952,0.0932,
18.61300878,3.191036224,7.180233952,0.09375,
18.72299239,3.33507061,7.203470916,0.0943,
18.83306727,3.418904305,7.261563092,0.09485,
18.94295588,3.31958127,7.447459735,0.0954,
19.05303076,3.384516954,7.377748378,0.095949999,
19.16301437,3.419240475,7.389367092,0.096499999,
19.27299425,3.313267708,7.447459735,0.097049999,
19.38302442,3.365018129,7.459077984,0.097599999,
19.49300617,3.324899435,7.482314948,0.098149999,
19.60303448,3.426652193,7.55202584,0.098699999,
19.71292309,3.465613365,7.691448089,0.099249999,
19.8230464,3.271970987,7.668211125,0.099799999,
19.93293315,3.464202642,7.703066338,0.100349998,
20.04296333,3.496026278,7.726303767,0.100899998,
20.15289851,3.469666481,7.749540266,0.101449998,
20.26297338,3.476245165,7.842488587,0.101999998,
20.37295513,3.384578705,7.98191037,0.102549998,
20.48293687,3.367320538,7.923818193,0.103099998,
20.59301175,3.492314577,7.970292121,0.103649998,
20.70294693,3.523647308,8.028384298,0.104199998,
20.81302181,3.472518682,8.016766049,0.104749997,
20.92291228,3.571488619,8.028384298,0.105299997,
21.03298716,3.66861248,8.051621728,0.105849997,
21.14296891,3.506415367,8.144569583,0.106399997,
21.25290409,3.498575449,8.318847045,0.106949997,
21.36293426,3.644916296,8.214280009,0.107499997,
21.47286944,3.572254896,8.249135688,0.108049997,
21.58289775,3.62130785,8.272373118,0.108599997,
21.69288136,3.578490257,8.307228796,0.109149996,
21.80290781,3.636330605,8.411794901,0.109699996,
21.91298269,3.614605904,8.493124507,0.110249996,
22.02291787,3.743187428,8.504743688,0.110799996,
22.13299461,3.775208473,8.527980186,0.111350004,
22.24292979,3.588509083,8.609308861,0.111900004,
22.3529581,3.645207644,8.760349825,0.112450004,
22.46298827,3.724282742,8.65578372,0.113000003,
22.57292159,3.751649618,8.795206435,0.113550003,
22.68299833,3.684512138,8.830061182,0.114100003,
22.79298007,3.82148385,8.830061182,0.114650003,
22.90301025,3.868670464,8.841679431,0.115200003,
23.01299013,3.80599165,8.87653511,0.115750003,
23.12302031,3.828169584,8.969482966,0.116300003,
23.23300205,3.845557451,9.085668251,0.116850003,
23.34293723,3.788631678,9.039194323,0.117400002,
23.45301211,3.863775015,9.085668251,0.117950002,
23.56294915,3.759277582,9.143760428,0.118500002,
23.67292903,3.750691414,9.166997857,0.119050002,
23.78291078,3.851929903,9.190235287,0.119600002,
23.89289439,4.018672943,9.236708283,0.120150002,
24.0029227,3.892994881,9.387749247,0.120700002,
24.11295101,3.822573185,9.329656139,0.121250002,
24.22293276,3.873340368,9.376130998,0.121800001,
24.33286794,3.882553101,9.445841424,0.122350001,
24.44294281,3.974747181,9.445841424,0.122900001,
24.55287986,3.973825932,9.457460605,0.123450001,
24.66290817,3.986964941,9.480698034,0.124000001,
24.77288991,3.922439814,9.596881457,0.124550001,
24.88287166,3.871715546,9.724685922,0.125100001,
24.99294654,4.200269699,9.654974565,0.125650001,
25.10283701,3.955928802,9.736304171,0.1262,
25.21291189,3.900490284,9.759541601,0.12675,
25.32284707,4.077036381,9.782779031,0.1273,
25.43287724,4.209383488,9.806014597,0.12785,
25.54295212,4.267058849,9.887344204,0.1284,
25.6528873,4.134778023,10.00352949,0.12895,
25.76300874,4.054022789,9.99191124,0.1295,
25.87285079,4.201025963,10.00352949,0.13005,
25.98306537,4.189921379,10.03838517,0.130599999,
26.09290741,4.140295506,10.03838517,0.131149999,
26.20298415,4.148400784,10.0616226,0.131699999,
26.31305903,4.227673054,10.15457045,0.132249999,
26.42299421,4.261859894,10.25913749,0.132799999,
26.53297596,4.219854355,10.24751831,0.133350007,
26.6429577,4.153436661,10.30561049,0.133900007,
26.75298601,4.062820435,10.31722967,0.134450006,
26.86296776,4.243440151,10.34046616,0.135000006,
26.97285824,4.302320004,10.39855834,0.135550006,
27.08297968,4.238792419,10.5495993,0.136100006,
27.19296142,4.100478172,10.46827063,0.136650006,
27.30298974,4.29018259,10.47988795,0.137200006,
27.41292492,4.289403915,10.59607323,0.137750006,
27.52304636,4.196342945,10.60769148,0.138300006,
27.63298154,4.292294025,10.61931066,0.138850005,
27.74291858,4.229815006,10.64254716,0.139400005,
27.85299346,4.380568981,10.71225852,0.139950005,
27.96297707,4.46606636,10.89815423,0.140500005,
28.07295881,4.502706528,10.75873245,0.141050005,
28.18298712,4.350794315,10.81682462,0.141600005,
28.29301544,4.267045498,10.90977248,0.142150005,
28.40295061,4.413556576,10.90977248,0.142700005,
28.51297893,4.467957497,10.92139166,0.143250004,
28.62296067,4.385970592,10.96786465,0.143800004,
28.73299085,4.420494556,11.07243169,0.144350004,
28.84292603,4.303816795,11.20023523,0.144900004,
28.95295247,4.426877499,11.1305248,0.145450004,
29.06293608,4.445160389,11.16537955,0.146000004,
29.17296439,4.525987148,11.26994565,0.146550004,
29.28285487,4.39227581,11.30480226,0.147100004,
29.39297445,4.450466633,11.32803876,0.147650003,
29.50291149,4.598931313,11.35127619,0.148200003,
29.6129398,4.594310284,11.38613094,0.148750003,
29.72287498,4.444822311,11.52555365,0.149300003,
29.83294986,4.568736076,11.61850151,0.149850003,
29.9428869,4.516207218,11.44422404,0.150400003,
30.05286865,4.521634579,11.61850151,0.150950003,
30.16289696,4.480905056,11.67659368,0.151500003,
30.27287871,4.529705048,11.67659368,0.152050002,
30.38290702,4.466124058,11.68821193,0.152600002,
30.49288876,4.73658371,11.69983111,0.153150002,
30.60287051,4.779153347,11.76954154,0.153700002,
30.71290068,4.559589386,11.94381993,0.154250002,
30.82283586,4.637164116,11.94381993,0.154800002,
30.93291074,4.519583225,11.9205825,0.155350002,
31.04284592,4.753593445,12.01353036,0.155900002,
31.15287423,4.691130638,12.02514954,0.156450001,
31.26290441,4.690288067,12.03676779,0.157000001,
31.37283772,4.679144859,12.07162254,0.157550001,
31.4829126,4.76173687,12.21104525,0.158100001,
31.59289435,4.713015079,12.26913743,0.158650001,
31.70287982,4.563512802,12.17618957,0.159200001,
31.81290627,4.736886024,12.2459,0.159750001,
31.92293644,4.765501499,12.29237486,0.160300001,
32.03291818,4.708724022,12.36208528,0.16085,
32.14294836,4.784920216,12.39694096,0.1614,
32.25288168,4.868820667,12.40856014,0.16195,
32.36291185,4.76933527,12.501508,0.1625,
32.4729383,4.773062706,12.54798099,0.16305,
32.58287534,4.958786011,12.53636368,0.1636,
32.69295022,4.820958614,12.58283667,0.16415,
32.80293196,4.822797298,12.67578546,0.164699999,
32.91295841,4.967303753,12.74549589,0.165249999,
33.02289546,4.820555687,12.67578546,0.165799999,
33.13297406,4.967616081,12.81520724,0.166349999,
33.2429558,4.755980968,12.81520724,0.166899999,
33.35293755,4.848622799,12.80358899,0.167449999,
33.462964,4.948040009,12.82682642,0.167999999,
33.57285261,4.943166733,12.86168117,0.168549999,
33.68297592,5.129742622,12.96624728,0.169099998,
33.7928161,4.88449192,13.07081431,0.169649998,
33.90293941,4.870494843,13.01272213,0.170199998,
34.01287645,4.830272675,13.10566999,0.170749998,
34.12295133,4.987618446,13.10566999,0.171299998,
34.23288465,5.050134182,13.11728824,0.171849998,
34.34291482,4.883598804,13.12890649,0.172399998,
34.45289657,5.203228951,13.17538042,0.172949998,
34.56292301,5.118102074,13.36127706,0.173499997,
34.67286006,5.176606655,13.30318488,0.174049997,
34.78289023,5.046083927,13.34965788,0.174599997,
34.89282727,4.940014839,13.41936924,0.175149997,
35.00285372,5.076521873,13.41936924,0.175699997,
