Elongation,Force,?,Time
0.036847021,0.11025878,0,0.000816667
0.132108908,0.211362109,0,0.001366667
0.248752331,0.137251511,0,0.001916667
0.354635122,0.158077806,0,0.002466667
0.467272388,0.051383443,0,0.003016667
0.575530867,0.389849484,0,0.003566667
0.686677522,0.284684032,0,0.004116667
0.795914268,0.475022256,0,0.004666667
0.906548521,0.378691643,0,0.005216667
1.014993293,0.388362825,0.185896031,0.005766666
1.126885298,0.475727081,0.151040527,0.006316667
1.23574934,0.509277642,0.174277535,0.006866667
1.346523408,0.499717981,0.185896031,0.007416667
1.455946476,0.450934887,0.232370032,0.007966666
1.566440915,0.485983551,0.290462514,0.008516666
1.676143496,0.62273699,0.383410545,0.009066667
1.786078908,0.733192503,0.360173552,0.009616667
1.896107686,0.686777294,0.418266049,0.010166667
2.006695373,0.684983671,0.441503042,0.010716667
2.116071759,0.773266137,0.476358575,0.011266667
2.22656643,0.70283401,0.569306547,0.011816667
2.336175647,0.62031424,0.522832561,0.012366666
2.446483821,0.747689605,0.639017555,0.012916666
2.556186402,0.733354986,0.673873059,0.013466667
2.666401444,0.860537052,0.673873059,0.014016667
2.776336856,1.007615089,0.697110139,0.014566667
2.886318834,0.780969501,0.743584125,0.015116667
2.996021416,0.954233468,0.848150637,0.015666667
3.106515855,0.657477081,0.848150637,0.016216666
3.216218436,0.962484837,0.883006083,0.016766667
3.326340346,0.852404058,0.906243164,0.017316667
3.436275758,1.17928803,0.929480128,0.017866667
3.546350868,1.118386149,0.975954114,0.018416667
3.656333312,1.107135177,1.068902086,0.018966667
3.766175592,1.109766245,1.03404664,0.019516667
3.876436967,0.925728679,1.138613094,0.020066667
3.986419179,0.976386726,1.161850058,0.020616666
4.096261691,1.104664087,1.173468656,0.021166666
4.206476267,1.081638098,1.196705736,0.021716666
4.316318315,1.139843583,1.266416628,0.022266666
4.42648679,1.205545664,1.347746118,0.022816666
4.536189605,1.053874373,1.336127636,0.023366666
4.646451212,1.185042858,1.405838761,0.023916666
4.756339826,1.124260426,1.417457242,0.024466668
4.866368603,1.209533453,1.440694206,0.025016667
4.976350814,1.143236399,1.475549652,0.025566667
5.086379591,1.299990177,1.603353303,0.026116667
5.196408369,1.153920412,1.580116106,0.026666667
5.306343548,1.36841321,1.649827231,0.027216667
5.416465458,1.239622116,1.661445713,0.027766667
5.526354536,1.451092482,1.661445713,0.028316667
5.63642988,1.350753784,1.684682677,0.028866667
5.746365059,1.35289216,1.766012167,0.029416666
5.856486969,1.306809545,1.858960255,0.029966666
