Elongation,Force,?,Time
12.89613172,2.551185846,4.136186559,0.065166668
13.00625317,2.600768805,4.182660487,0.065716668
13.11618835,2.617759466,4.298845772,0.066266668
13.22626416,2.671699762,4.229134414,0.066816664
13.3361062,2.569192171,4.287227057,0.067366664
13.44627514,2.603280544,4.287227057,0.067916663
13.55620939,2.718019247,4.310464021,0.068466663
13.66623864,2.669321537,4.391793627,0.069016663
13.77626695,2.759688616,4.473123234,0.069566663
13.88620306,2.846117735,4.484741483,0.070116663
13.99623137,2.675890446,4.507978447,0.070666663
14.10616655,2.80961442,4.589308053,0.071216663
14.21619486,2.713326693,4.600926302,0.071766671
14.3262241,2.665040016,4.659018945,0.07231667
14.43615928,2.729082823,4.705492873,0.07286667
14.54623509,2.812126637,4.705492873,0.07341667
14.65621684,2.792026281,4.717111588,0.07396667
14.76619951,2.872936964,4.77520423,0.07451667
14.87622783,2.734642506,4.914626013,0.07506667
14.98620957,2.755583525,4.856533371,0.07561667
15.09623788,2.79026413,4.972718656,0.07616667
15.20617399,2.829651594,4.99595562,0.076716669
15.31624887,2.814106226,4.984337371,0.077266669
15.42623155,2.846297741,5.019192584,0.077816669
15.5361658,2.808768272,5.135377869,0.078366669
15.64619504,2.97947669,5.158614833,0.078916669
15.75626992,3.065849066,5.193470046,0.079466669
15.86620696,2.995643854,5.263181403,0.080016669
15.97614028,3.088738203,5.263181403,0.080566669
16.08621515,3.039791822,5.286417902,0.081116668
16.19619876,3.116276503,5.356129259,0.081666668
16.30618051,2.939352036,5.402603187,0.082216668
16.41616225,3.069318771,5.425840151,0.082766668
16.52623713,3.000594854,5.54202497,0.083316668
16.63612761,3.031754255,5.460695829,0.083866668
16.74615405,3.068387985,5.54202497,0.084416668
16.85613766,3.079824209,5.588498898,0.084966667
16.96616597,3.095010281,5.611736327,0.085516667
17.07619429,3.100813389,5.681447219,0.086066667
17.18613133,3.067092419,5.739539396,0.086616667
17.29620621,3.166097879,5.751158111,0.087166667
17.40614139,3.086340189,5.77439554,0.087716667
17.51612313,3.079996109,5.844105966,0.088266667
17.62619801,3.146127701,5.844105966,0.088816667
17.73613319,3.149891853,5.855724681,0.089366666
17.84620807,3.224227428,5.878961645,0.089916666
17.95619167,3.169578552,5.960291252,0.090466666
18.06621999,3.211513042,6.076476071,0.091016666
18.1761086,3.319992781,6.099713501,0.091566666
18.28609034,3.302487612,6.099713501,0.092116666
18.39612052,3.251571655,6.134568714,0.092666666
18.50610226,3.344688654,6.181042641,0.093216666
18.61608401,3.224148989,6.262372714,0.093766665
18.72611232,3.348855495,6.250753999,0.094316665
18.8361425,3.328070402,6.273990497,0.094866665
18.94612238,3.298398018,6.308846641,0.095416665
19.05610412,3.342783928,6.355320569,0.095966665
19.1661343,3.388994217,6.401794497,0.096516665
19.27611604,3.403767109,6.529597566,0.097066665
19.38609965,3.331773043,6.471505389,0.097616665
19.4961261,3.429622412,6.529597566,0.098166664
19.60615627,3.49495697,6.552834995,0.098716664
19.71613616,3.434870243,6.564453244,0.099266664
19.82616633,3.522004128,6.622545887,0.099816664
19.93614808,3.455619574,6.738730706,0.100366664
20.04617639,3.337532282,6.727112457,0.100916664
20.15615813,3.46794486,6.750349421,0.101466664
20.26613988,3.58570528,6.796823349,0.102016664
20.37617005,3.594441891,6.808442064,0.102566663
20.48614994,3.478579044,6.843297277,0.103116663
20.59613355,3.569084406,6.947863847,0.103666663
20.70616186,3.536020041,7.005956024,0.104216663
20.81614546,3.52243185,6.982719526,0.104766663
20.92612721,3.559152603,7.064048667,0.105316663
21.03620209,3.612812757,7.064048667,0.105866671
21.14613727,3.497426987,7.075667381,0.10641667
21.25621215,3.737418652,7.098904811,0.10696667
21.36610076,3.723061085,7.168615237,0.10751667
21.4761775,3.660313368,7.308037486,0.10806667
21.58615924,3.653554201,7.226707879,0.10861667
21.69609442,3.551401377,7.308037486,0.10916667
21.8061693,3.670921564,7.354511414,0.10971667
21.91615105,3.770836353,7.354511414,0.11026667
22.02613279,3.680372477,7.377748378,0.110816669
22.1361164,3.766735315,7.482314948,0.111366669
22.24609815,3.731618166,7.563644554,0.111916669
22.35612646,3.751438618,7.517170627,0.112466669
22.46601507,3.847303629,7.563644554,0.113016669
22.57608995,3.775597334,7.610118482,0.113566669
22.68607356,3.716311216,7.633355446,0.114116669
22.79610001,3.771030188,7.703066338,0.114666669
